00:36:26 - 来自: main.py:1741 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>'}
00:36:49 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>', 'result': '在游戏中'}
00:36:49 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
00:36:49 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.bid_display                     | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>', 'result': '得分：0.001'}
00:36:49 -         来自: main.py:762 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000001D850BC45E0>'}
00:36:49 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.bid_display                     | 返回值: None
00:36:49 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.suggest1_text                   | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>', 'result': '建议： 不叫'}
00:36:49 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.suggest1_text                   | 返回值: None
00:36:49 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.suggest2_text                   | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>', 'result': '建议： 不加倍'}
00:36:49 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.suggest2_text                   | 返回值: None
00:36:49 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.cards_recorder                  | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>', 'result': 'DX22AAAAKKKKQQQJJTTT99998888777654443'}
00:36:49 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.cards_recorder                  | 返回值: None
00:36:49 -             来自: main.py:384 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x000001D850BC45E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (160, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82), (157, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (160, 31, 1121, 82), (157, 32, 1121, 82), (158, 32, 1121, 82), (159, 32, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(108, 30, 1121, 82), (158, 30, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (209, 32, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(208, 30, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 28, 1121, 82), (260, 28, 1121, 82), (310, 28, 1121, 82), (311, 28, 1121, 82), (258, 29, 1121, 82), (259, 29, 1121, 82), (260, 29, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (258, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (261, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (259, 31, 1121, 82), (260, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (259, 32, 1121, 82), (260, 32, 1121, 82), (310, 32, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(259, 28, 1121, 82), (310, 28, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 28, 1121, 82), (360, 29, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (359, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82), (360, 33, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 28, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(412, 29, 1121, 82), (411, 30, 1121, 82), (412, 30, 1121, 82), (413, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (412, 31, 1121, 82), (413, 31, 1121, 82), (410, 32, 1121, 82), (411, 32, 1121, 82), (412, 32, 1121, 82), (410, 33, 1121, 82), (411, 33, 1121, 82), (412, 33, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(412, 29, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(461, 29, 1121, 82), (462, 29, 1121, 82), (463, 29, 1121, 82), (512, 29, 1121, 82), (513, 29, 1121, 82), (563, 29, 1121, 82), (461, 30, 1121, 82), (462, 30, 1121, 82), (463, 30, 1121, 82), (511, 30, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (563, 30, 1121, 82), (564, 30, 1121, 82), (461, 31, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (563, 31, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(461, 29, 1121, 82), (512, 29, 1121, 82), (563, 29, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(664, 28, 1121, 82), (665, 28, 1121, 82), (666, 28, 1121, 82), (714, 28, 1121, 82), (715, 28, 1121, 82), (716, 28, 1121, 82), (614, 29, 1121, 82), (615, 29, 1121, 82), (663, 29, 1121, 82), (664, 29, 1121, 82), (665, 29, 1121, 82), (666, 29, 1121, 82), (714, 29, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (717, 29, 1121, 82), (664, 30, 1121, 82), (665, 30, 1121, 82), (666, 30, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (716, 30, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(664, 28, 1121, 82), (714, 28, 1121, 82), (614, 29, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(764, 29, 1121, 82), (765, 29, 1121, 82), (766, 29, 1121, 82), (764, 30, 1121, 82), (765, 30, 1121, 82), (766, 30, 1121, 82), (763, 31, 1121, 82), (764, 31, 1121, 82), (765, 31, 1121, 82), (766, 31, 1121, 82), (763, 32, 1121, 82), (764, 32, 1121, 82), (765, 32, 1121, 82), (766, 32, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(764, 29, 1121, 82)])
00:36:49 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(815, 30, 1121, 82), (816, 30, 1121, 82), (817, 30, 1121, 82), (916, 30, 1121, 82), (917, 30, 1121, 82), (918, 30, 1121, 82), (814, 31, 1121, 82), (815, 31, 1121, 82), (816, 31, 1121, 82), (817, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (915, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (918, 31, 1121, 82), (815, 32, 1121, 82), (816, 32, 1121, 82), (817, 32, 1121, 82), (916, 32, 1121, 82), (917, 32, 1121, 82), (918, 32, 1121, 82)]', 'distance': '25'}
00:36:49 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(815, 30, 1121, 82), (916, 30, 1121, 82), (866, 31, 1121, 82)])
00:36:49 -             来自: main.py:384 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: 22QJJT76665554333
00:36:49 -         来自: main.py:762 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 22QJJT76665554333
00:36:49 -         来自: main.py:819 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
00:36:49 -         来自: main.py:819 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
00:36:49 -         来自: main.py:837 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
00:36:49 -         来自: main.py:837 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
00:36:49 -         来自: main.py:849 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'over', 'pos': '(95, 209, 1053, 465)', 'click': 'False'}
00:36:49 -         来自: main.py:849 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
00:36:49 -     来自: main.py:282 - run                              | 函数异常            | __main__.before_start                    | 异常类型: NameError | 异常信息: name '检测并处理明牌按钮' is not defined | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 900, in before_start
    检测并处理明牌按钮
NameError: name '检测并处理明牌按钮' is not defined

00:36:49 -     来自: main.py:284 - run                              | 调用函数            | __main__.init_cards                      | 参数: {'self': '<__main__.Worker object at 0x000001D850BC45E0>'}
00:36:49 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x000001D84F1E9040>', 'result': '出牌前阶段'}
00:36:49 -     来自: main.py:284 - run                              | 函数异常            | __main__.init_cards                      | 异常类型: TypeError | 异常信息: object of type 'NoneType' has no len() | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 940, in init_cards
    while len(self.three_cards_real) != 3:
TypeError: object of type 'NoneType' has no len()

00:36:49 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
00:36:51 -     来自: main.py:282 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x000001D850BC45E0>'}
00:36:51 -         来自: main.py:704 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000001D850BC45E0>'}
00:36:51 -             来自: main.py:384 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x000001D850BC45E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
00:36:51 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (160, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82), (157, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (160, 31, 1121, 82), (157, 32, 1121, 82), (158, 32, 1121, 82), (159, 32, 1121, 82)]', 'distance': '25'}
00:36:51 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(108, 30, 1121, 82), (158, 30, 1121, 82)])
00:36:51 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (209, 32, 1121, 82)]', 'distance': '25'}
00:36:51 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(208, 30, 1121, 82)])
00:36:51 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 28, 1121, 82), (260, 28, 1121, 82), (310, 28, 1121, 82), (311, 28, 1121, 82), (258, 29, 1121, 82), (259, 29, 1121, 82), (260, 29, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (258, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (261, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (259, 31, 1121, 82), (260, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (259, 32, 1121, 82), (260, 32, 1121, 82), (310, 32, 1121, 82)]', 'distance': '25'}
